到着日,入院治療等を要する者の残数
2020/03/--、事例81・82,
3月4日,1
3月5日,1
3月6日,1
3月7日,1
3月8日,1
3月9日,1
3月10日,1
3月11日,1
3月12日,2
3月13日,3
3月14日,5
3月15日,5
3月16日,5
3月17日,7
3月18日,7
3月19日,11
3月20日,16
3月21日,17
3月22日,17
3月23日,17
3月24日,22
3月25日,22
3月26日,30
3月27日,30
3月28日,30
3月29日,50
3月30日,55
3月31日,59
4月1日,60
4月2日,64
4月3日,64
4月4日,68
4月5日,72
4月6日,72
4月7日,84
4月8日,84
4月9日,86
4月10日,115
4月11日,115
4月12日,119
4月13日,119
4月14日,123
4月15日,123
4月16日,124
4月17日,125
4月18日,126
4月19日,128
4月20日,129
4月21日,130
4月22日,131
4月23日,131
4月24日,134
4月25日,136
4月26日,137
4月27日,140
4月28日,142
4月29日,144
4月30日,144
5月1日,145
5月2日,145
5月3日,145
5月4日,145
5月5日,146
5月6日,148
5月7日,149
5月8日,149
5月9日,151
5月10日,151
5月11日,153
5月12日,154
5月13日,154
5月14日,154
5月15日,156
5月16日,156
5月17日,156
5月18日,156
5月19日,156
5月20日,157
5月21日,157
5月22日,157
5月23日,10
5月24日,11
5月25日,15
5月26日,17
5月27日,18
5月28日,28
5月29日,32
5月30日,36
5月31日,37
6月1日,38
6月2日,34
6月3日,37
6月4日,39
6月5日,40
6月6日,46
6月7日,46
6月8日,61
6月9日,58
6月10日,57
6月11日,62
6月12日,58
6月13日,71
6月14日,83
6月15日,85
6月16日,88
6月17日,87
6月18日,90
6月19日,90
6月20日,97
6月21日,92
6月22日,96
6月23日,103
6月24日,106
6月25日,112
6月26日,116
6月27日,117
6月28日,115
6月29日,119
6月30日,119
7月1日,118
7月2日,119
7月3日,125
7月4日,137
7月5日,136
7月6日,141
7月7日,144
7月8日,149
7月9日,159
7月10日,172
7月11日,192
7月12日,205
7月13日,193
7月14日,205
7月15日,209
7月16日,217
7月17日,226
7月18日,235
7月19日,246
7月20日,247
7月21日,251
7月22日,266
7月23日,271
7月24日,282
7月25日,288
7月26日,303
7月27日,316
7月28日,338
7月29日,346
7月30日,349
7月31日,354
8月1日,361
8月2日,384
8月3日,390
8月4日,398
8月5日,409
8月6日,415
8月7日,424
8月8日,430
8月9日,436
8月10日,444
8月11日,426
8月12日,389
8月13日,362
8月14日,346
8月15日,312
8月16日,295
8月17日,273
8月18日,239
8月19日,213
8月20日,167
8月21日,141
8月22日,128
8月23日,119
8月24日,107
8月25日,112
8月26日,94
8月27日,86
8月28日,89
8月29日,94
8月30日,103
8月31日,111
9月1日,116
9月2日,120
9月3日,105
9月4日,107
9月5日,111
9月6日,116
9月7日,117
9月8日,120
9月9日,123
9月10日,130
9月11日,138
9月12日,121
9月13日,106
9月14日,87
9月15日,93
9月16日,101
9月17日,94
9月18日,95
9月19日,98
9月20日,105
9月21日,113
9月22日,85
9月23日,84
9月24日,89
9月25日,74
9月26日,81
9月27日,86
9月28日,85
9月29日,83
9月30日,86
10月1日,90
10月2日,97
10月3日,94
10月4日,93
10月5日,95
10月6日,101
10月7日,106
10月8日,110
10月9日,122
10月10日,127
10月11日,132
10月12日,134
10月13日,134
10月14日,134
10月15日,141
10月16日,145
10月17日,123
10月18日,111
10月19日,106
10月20日,100
10月21日,105
10月22日,106
10月23日,96
10月24日,98
10月25日,101
10月26日,96
10月27日,93
10月28日,89
10月29日,94
10月30日,103
10月31日,111
11月1日,107
11月2日,103
11月3日,108
11月4日,104
11月5日,100
11月6日,118
11月7日,134
11月8日,126
11月9日,114
11月10日,115
11月11日,133
11月12日,133
11月13日,144
11月14日,141
11月15日,134
11月16日,140
11月17日,132
11月18日,124
11月19日,124
11月20日,135
11月21日,141
11月22日,121
11月23日,129
11月24日,127
11月25日,122
11月26日,138
11月27日,152
11月28日,155
11月29日,156
11月30日,141
12月1日,136
12月2日,137
12月3日,132
12月4日,140
12月5日,145
12月6日,152
12月7日,138
12月8日,132
12月9日,128
12月10日,123
12月11日,132
12月12日,136
12月13日,137
12月14日,139
12月15日,124
12月16日,112
12月17日,105
12月18日,109
12月19日,125
12月20日,144
12月21日,154
12月22日,147
12月23日,141
12月24日,135
12月25日,136
12月26日,146
12月27日,150
12月28日,152
12月29日,129
12月30日,134
12月31日,137
1月1日,128
1月2日,142
1月3日,147
1月4日,146
1月5日,150
1月6日,154
1月7日,156
1月8日,152
1月9日,147
1月10日,149
1月11日,143
1月12日,131
1月13日,132
1月14日,133
1月15日,126
1月16日,131
1月17日,141
1月18日,152
1月19日,143
1月20日,133
1月21日,128
1月22日,127
1月23日,130
1月24日,114
1月25日,95
1月26日,97
1月27日,92
1月28日,80
1月29日,84
1月30日,82
1月31日,85
2月1日,77
2月2日,74
2月3日,69
2月4日,55
2月5日,54
2月6日,51
2月7日,47
2月8日,44
2月9日,43
2月10日,33
2月11日,34
2月12日,39
2月13日,38
2月14日,35
2月15日,33
2月16日,30
2月17日,29
2月18日,28
2月19日,29
2月20日,29
2月21日,30
2月22日,31
2月23日,28
2月24日,27
2月25日,34
2月26日,38
2月27日,41
2月28日,54
3月1日,51
3月2日,54
3月3日,52
3月4日,53
3月5日,56
3月6日,59
3月7日,57
3月8日,53
3月9日,55
3月10日,52
3月11日,52
3月12日,52
3月13日,57
3月14日,59
3月15日,
