到着日,PCR 検査陽性者数(単日),検疫所
2020/01/16,1,
2020/01/17,0,
2020/01/18,0,
2020/01/19,0,
2020/01/20,0,
2020/01/21,0,
2020/01/22,0,
2020/01/23,0,
2020/01/24,1,
2020/01/25,1,
2020/01/26,1,
2020/01/27,0,
2020/01/28,3,
2020/01/29,1,
2020/01/30,3,
2020/01/31,1,
2020/02/01,0,
2020/02/02,0,
2020/02/03,0,
2020/02/04,2,
2020/02/05,2,
2020/02/06,0,
2020/02/07,0,
2020/02/08,0,
2020/02/09,0,
2020/02/10,0,
2020/02/11,0,
2020/02/12,1,
2020/02/13,4,
2020/02/14,7,
2020/02/15,12,
2020/02/16,6,
2020/02/17,7,
2020/02/18,7,75
2020/02/19,10,68
2020/02/20,9,15
2020/02/21,11,188
2020/02/22,27,127
2020/02/23,12,72
2020/02/24,12,103
2020/02/25,8,38
2020/02/26,22,19
2020/02/27,24,61
2020/02/28,20,79
2020/02/29,9,86
2020/03/--、事例81・82,15,22
2020/03/02,14,24
2020/03/03,16,27
2020/03/04,33,12
2020/03/05,31,11
2020/03/06,59,35
2020/03/07,47,13
2020/03/08,33,10
2020/03/09,26,27
2020/03/10,54,57
2020/03/11,52,45
2020/03/12,55,128
2020/03/13,40,187
2020/03/14,62,238
2020/03/15,33,59
2020/03/16,15,65
2020/03/17,44,14
2020/03/18,39,59
2020/03/19,36,31
2020/03/20,53,51
2020/03/21,34,40
2020/03/22,42,83
2020/03/23,38,20
2020/03/24,65,47
2020/03/25,93,29
2020/03/26,96,17
2020/03/27,104,12
2020/03/28,194,16
2020/03/29,185,62
2020/03/30,74,97
2020/03/31,218,207
2020/04/01,224,46
2020/04/02,253,131
2020/04/03,337,496
2020/04/04,370,590
2020/04/05,386,702
2020/04/06,270,627
2020/04/07,377,685
2020/04/08,550,805
2020/04/09,572,940
2020/04/10,708,650
2020/04/11,676,683
2020/04/12,571,833
2020/04/13,333,819
2020/04/14,511,939
2020/04/15,511,694
2020/04/16,596,703
2020/04/17,575,846
2020/04/18,590,778
2020/04/19,372,834
2020/04/20,365,425
2020/04/21,374,668
2020/04/22,450,358
2020/04/23,445,521
2020/04/24,451,687
2020/04/25,374,795
2020/04/26,221,732
2020/04/27,189,592
2020/04/28,284,711
2020/04/29,227,636
2020/04/30,199,591
2020/05/01,266,706
2020/05/02,302,805
2020/05/03,204,692
2020/05/04,177,366
2020/05/05,120,406
2020/05/06,106,399
2020/05/07,96,487
2020/05/08,89,425
2020/05/09,108,581
2020/05/10,68,648
2020/05/11,50,633
2020/05/12,80,692
2020/05/13,54,231
2020/05/14,100,525
2020/05/15,52,578
2020/05/16,57,658
2020/05/17,30,732
2020/05/18,30,482
2020/05/19,31,643
2020/05/20,38,360
2020/05/21,43,513
2020/05/22,31,506
2020/05/23,29,597
2020/05/24,40,645
2020/05/25,20,449
2020/05/26,27,706
2020/05/27,37,503
2020/05/28,61,595
2020/05/29,64,592
2020/05/30,46,858
2020/05/31,32,1252
2020/06/01,36,748
2020/06/02,51,886
2020/06/03,26,770
2020/06/04,45,709
2020/06/05,41,969
2020/06/06,45,1045
2020/06/07,32,1098
2020/06/08,22,719
2020/06/09,30,827
2020/06/10,36,672
2020/06/11,40,802
2020/06/12,57,1061
2020/06/13,43,1183
2020/06/14,62,1205
2020/06/15,60,878
2020/06/16,42,871
2020/06/17,43,771
2020/06/18,68,838
2020/06/19,54,1173
2020/06/20,65,1155
2020/06/21,49,1440
2020/06/22,40,993
2020/06/23,53,818
2020/06/24,89,794
2020/06/25,79,1064
2020/06/26,99,1239
2020/06/27,88,1117
2020/06/28,111,1335
2020/06/29,110,893
2020/06/30,132,742
2020/07/01,125,1058
2020/07/02,194,1181
2020/07/03,249,1163
2020/07/04,268,1359
2020/07/05,195,1733
2020/07/06,172,1046
2020/07/07,208,1217
2020/07/08,203,1173
2020/07/09,352,1033
2020/07/10,420,1603
2020/07/11,373,1645
2020/07/12,391,1440
2020/07/13,248,903
2020/07/14,327,1126
2020/07/15,440,1071
2020/07/16,619,1097
2020/07/17,588,1682
2020/07/18,655,1344
2020/07/19,501,1627
2020/07/20,407,881
2020/07/21,618,1002
2020/07/22,792,1066
2020/07/23,966,1083
2020/07/24,766,1237
2020/07/25,798,1331
2020/07/26,830,1492
2020/07/27,581,935
2020/07/28,968,1142
2020/07/29,1242,528
2020/07/30,1297,539
2020/07/31,1574,1006
2020/08/01,1535,630
2020/08/02,1324,751
2020/08/03,937,0
2020/08/04,1234,0
2020/08/05,1350,46
2020/08/06,1479,5
2020/08/07,1595,30
2020/08/08,1523,13
2020/08/09,1486,0
2020/08/10,836,1
2020/08/11,693,0
2020/08/12,969,107
2020/08/13,1176,0
2020/08/14,1356,0
2020/08/15,1234,5
