到着日,全ての国地域,東京都,千葉県,非公表等_行動歴,愛知県,大阪府,フィリピン,兵庫県,京都府,岐阜県,アメリカ,神奈川県,非公表等_居住地,PCR検査人数(前日比),埼玉県,パキスタン,インド,ネパール,インドネシア,福岡県,広島県,ロシア,バングラデシュ,イギリス,アラブ首長国連邦,茨城県
2020/03/--、事例81・82,2,0,0,2,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/02,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/03,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/04,1,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/05,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/06,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/07,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/08,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/09,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/10,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/11,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/12,2,0,0,0,0,1,0,0,0,0,0,0,1,128,0,0,0,0,0,0,0,1,0,0,0,0
2020/03/13,1,1,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,1,1,0
2020/03/14,1,0,0,0,0,0,0,0,0,0,0,0,1,238,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/15,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/16,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/17,2,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/18,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/19,4,0,0,0,1,1,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0
2020/03/20,5,2,0,0,0,0,0,0,0,0,0,1,0,51,1,0,0,0,0,0,0,0,0,0,0,0
2020/03/21,1,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0
2020/03/22,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/23,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/24,3,2,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/25,4,1,2,0,0,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,0,0,1,0,0
2020/03/26,5,1,1,0,0,0,0,1,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,5,0,0
2020/03/27,4,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/28,12,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/29,10,1,0,1,0,0,0,0,0,0,0,0,10,62,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/30,5,1,0,2,0,0,0,0,0,0,0,1,2,97,0,0,0,0,0,0,0,0,0,1,0,0
2020/03/31,2,0,0,0,0,0,0,0,0,0,0,0,2,207,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/01,10,0,0,0,0,0,0,0,0,0,2,0,6,46,1,0,0,0,0,0,0,0,0,0,0,1
2020/04/02,1,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/03,1,0,0,0,0,0,0,0,0,0,1,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/04,7,2,0,0,0,0,0,0,0,0,5,0,0,590,0,0,0,0,0,0,1,0,0,1,0,1
2020/04/05,6,3,1,0,0,0,0,0,1,0,0,0,0,702,0,0,0,0,0,1,0,0,0,1,0,0
2020/04/06,11,1,0,1,3,1,1,0,0,1,3,1,0,627,0,0,0,0,1,1,0,0,0,3,0,0
2020/04/07,4,2,0,0,0,0,0,0,0,0,3,1,0,685,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/08,2,0,0,1,0,0,0,0,0,0,0,0,1,805,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/09,1,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,1
2020/04/10,6,2,0,4,0,0,0,0,0,0,1,3,0,650,1,0,0,0,0,0,0,0,0,1,0,0
2020/04/11,3,2,0,1,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/12,2,1,0,0,0,0,0,0,0,0,0,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/13,0,0,0,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/14,4,2,0,3,0,0,0,0,0,0,1,1,1,939,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/15,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/16,1,0,0,0,0,0,1,0,0,0,0,0,0,703,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/17,1,0,0,0,0,0,0,0,0,0,1,0,1,846,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/18,1,0,0,0,0,0,0,0,0,0,0,1,0,778,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/19,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/20,3,0,0,0,2,0,0,0,0,0,0,0,1,425,0,0,0,0,2,0,0,0,0,0,0,0
2020/04/21,2,1,0,0,0,1,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,1,0,0
2020/04/22,1,0,0,0,0,0,1,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/23,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/24,3,1,0,0,0,0,1,0,0,0,1,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0
2020/04/25,2,0,0,0,1,0,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0
