到着日,全ての国地域,東京都,千葉県,非公表等_行動歴,愛知県,大阪府,フィリピン,兵庫県,京都府,岐阜県,アメリカ,神奈川県,非公表等_居住地,PCR検査人数(前日比),埼玉県,パキスタン,インド,ネパール,インドネシア,福岡県,広島県,ロシア,バングラデシュ,イギリス
03/--、事例81・82,2,0,0,2,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0
2020/03/04,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/05,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/06,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/07,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/08,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/09,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/11,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/12,2,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,0
2020/03/13,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
2020/03/14,1,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0
2020/03/15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/17,2,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0
2020/03/18,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2020/03/19,4,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0
2020/03/20,5,2,0,0,0,0,0,0,0,0,0,1,0,36,1,0,0,0,0,0,0,0,0,0
2020/03/21,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1
2020/03/22,1,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0
2020/03/23,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
